5611ES,51.436731,5.480710
5611ZZ,51.443189,5.475819
5641BA,51.450096,5.519090
5623EJ,51.464361,5.470679
5615DA,51.432292,5.467083
5625RG,51.473288,5.481030
5641NE,51.441637,5.526977
5645KK,51.421532,5.517110
5625AA,51.467906,5.477033
5612CD,51.447612,5.475266
5611CJ,51.441287,5.482172
5643KB,51.424438,5.497291
5654NK,51.422302,5.457519
5613CJ,51.441068,5.496670
5624AR,51.464910,5.455355
5611EP,51.436532,5.481544
5624AA,51.473632,5.450546
5651CK,51.448860,5.448181
5612CS,51.451183,5.471173
5611KM,51.434890,5.478391
5622GL,51.464498,5.466607
5629KR,51.487877,5.479736
5611AG,51.441922,5.475198
5627CK,51.484269,5.443924
5628PW,51.480654,5.475186
5611BL,51.441259,5.472550
5611ER,51.435902,5.482952
5624CD,51.465478,5.452938
5625CB,51.472850,5.465010
5617AB,51.449097,5.457963
5652RB,51.444274,5.432036
5632LE,51.477648,5.490165
5654PL,51.424350,5.460959
5611ET,51.436434,5.481573
5625JG,51.475646,5.476515
5654AZ,51.423630,5.462338
5615KT,51.426962,5.466772
5611JX,51.436806,5.476410
5628PZ,51.479755,5.475185
5654LJ,51.422013,5.459948
5615AC,51.425523,5.490450
5643BM,51.422614,5.496022
5622ND,51.455983,5.470664
5612ER,51.452106,5.474340
5621CD,51.455076,5.456361
5641VD,51.445837,5.517611
5614CH,51.427480,5.493172
5611CN,51.439506,5.483521
5632NR,51.479784,5.494302
5652GG,51.439982,5.443279
5631GL,51.462646,5.489944
5612RT,51.444839,5.468069
5641LB,51.443848,5.527458
5642HE,51.436999,5.511071
5615NN,51.427659,5.471705
5644CH,51.418543,5.495092
5626AB,51.475353,5.440674
5641KA,51.445549,5.525521
5626GZ,51.476535,5.430053
5626CH,51.477292,5.425836
5628XA,51.482530,5.478804
5613MC,51.438434,5.496980
5615PB,51.432433,5.470391
5632KA,51.476180,5.493228
5629PV,51.488160,5.473718
5611GJ,51.437280,5.479173
5651GG,51.471739,5.418995
5611AE,51.442002,5.476349
5654BL,51.420267,5.464244
5645BM,51.419251,5.507098
5643HT,51.417718,5.502249
5616RT,51.439428,5.467542
5629GB,51.484025,5.461473
5622PB,51.456161,5.460248
5631EW,51.460770,5.487292
5631KA,51.466982,5.496329
5643PR,51.430042,5.502697
5645ET,51.427831,5.510902
5611JT,51.436017,5.474323
5611ZX,51.443387,5.475114
5658GE,51.438140,5.416253
5616JJ,51.434105,5.457207
5652AB,51.430199,5.450385
5654EK,51.418870,5.454538
